,date_id,yardline_100,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,qtr,down,goal_to_go,ydstogo,play_type,yards_gained,shotgun,no_huddle,qb_dropback,qb_scramble,air_yards,yards_after_catch,posteam_timeouts_remaining,posteam_score,defteam_score,score_differential,fourth_down_converted,fourth_down_failed,rush_attempt,pass_attempt,temp,humd,wspd,cond,rain,snow,run_location_left,run_location_middle,run_location_right,run_gap_end,run_gap_guard,run_gap_tackle,pass_location_left,pass_location_middle,pass_location_right,pass_length_deep,pass_length_short
36,2009-09-20ATL,17.0,164.0,164.0,164.0,4,4.0,0.0,10,pass,0.0,0,0,1.0,0,13.0,,3.0,20.0,28.0,-8.0,0.0,1.0,0.0,1.0,,,,Dome,0,0,0,0,0,0,0,0,1,0,0,0,1
37,2009-09-20DET,21.0,426.0,1326.0,3126.0,1,4.0,0.0,1,run,4.0,0,0,0.0,0,,,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,68.0,,,Dome,0,0,1,0,0,0,0,1,0,0,0,0,0
38,2009-09-20DET,58.0,267.0,267.0,267.0,4,4.0,0.0,7,pass,12.0,1,0,1.0,0,5.0,7.0,3.0,10.0,27.0,-17.0,1.0,0.0,0.0,1.0,68.0,,,Dome,0,0,0,0,0,0,0,0,0,0,1,0,1
39,2009-09-20DET,25.0,138.0,138.0,138.0,4,4.0,0.0,2,pass,14.0,1,0,1.0,0,1.0,13.0,2.0,27.0,13.0,14.0,1.0,0.0,0.0,1.0,68.0,,,Dome,0,0,0,0,0,0,0,0,0,0,1,0,1
40,2009-09-20WAS,20.0,227.0,227.0,227.0,4,4.0,0.0,1,run,9.0,0,0,0.0,0,,,2.0,9.0,7.0,2.0,1.0,0.0,1.0,0.0,72.0,62.0,7.0,Sunny,0,0,1,0,0,0,0,1,0,0,0,0,0
41,2009-09-20WAS,2.0,120.0,120.0,120.0,4,4.0,0.0,1,run,-2.0,0,0,0.0,0,,,1.0,9.0,7.0,2.0,0.0,1.0,1.0,0.0,72.0,62.0,7.0,Sunny,0,0,1,0,0,1,0,0,0,0,0,0,0
42,2009-09-20WAS,96.0,100.0,100.0,100.0,4,4.0,0.0,10,pass,0.0,1,0,1.0,0,49.0,,0.0,7.0,9.0,-2.0,0.0,1.0,0.0,1.0,72.0,62.0,7.0,Sunny,0,0,0,0,0,0,0,0,0,0,1,1,0
43,2009-09-20TEN,37.0,252.0,1152.0,1152.0,3,4.0,0.0,2,pass,4.0,0,0,1.0,0,4.0,0.0,2.0,24.0,31.0,-7.0,1.0,0.0,0.0,1.0,77.0,83.0,13.0,Cloudy,0,0,0,0,0,0,0,0,1,0,0,0,1
44,2009-09-20TEN,33.0,629.0,629.0,629.0,4,4.0,0.0,6,pass,0.0,0,0,1.0,0,26.0,,2.0,31.0,31.0,0.0,0.0,1.0,0.0,1.0,77.0,83.0,13.0,Cloudy,0,0,0,0,0,0,0,0,1,0,0,1,0
45,2009-09-20TEN,15.0,316.0,316.0,316.0,4,4.0,0.0,1,run,2.0,0,0,0.0,0,,,1.0,31.0,31.0,0.0,1.0,0.0,1.0,0.0,77.0,83.0,13.0,Cloudy,0,0,0,1,0,0,0,0,0,0,0,0,0
46,2009-09-20PHI,3.0,34.0,934.0,934.0,3,4.0,1.0,3,pass,3.0,1,0,1.0,0,3.0,0.0,2.0,13.0,34.0,-21.0,1.0,0.0,0.0,1.0,68.0,53.0,2.0,Sunny,0,0,0,0,0,0,0,0,0,0,1,0,1
47,2009-09-20PHI,5.0,317.0,317.0,317.0,4,4.0,1.0,5,pass,0.0,1,0,1.0,0,-5.0,5.0,2.0,20.0,41.0,-21.0,0.0,1.0,0.0,1.0,68.0,53.0,2.0,Sunny,0,0,0,0,0,0,0,0,0,0,1,0,1
48,2009-09-20PHI,99.0,221.0,221.0,221.0,4,4.0,0.0,14,run,-1.0,0,0,0.0,0,,,1.0,41.0,20.0,21.0,0.0,1.0,1.0,0.0,68.0,53.0,2.0,Sunny,0,0,0,0,1,1,0,0,0,0,0,0,0
49,2009-09-20NYJ,72.0,66.0,66.0,66.0,4,4.0,0.0,10,pass,0.0,1,0,1.0,0,9.0,,0.0,9.0,16.0,-7.0,0.0,1.0,0.0,1.0,69.0,41.0,5.0,Clear,0,0,0,0,0,0,0,0,1,0,0,0,1
50,2009-09-20KC,39.0,381.0,1281.0,3081.0,1,4.0,0.0,2,run,3.0,0,0,0.0,0,,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,72.0,70.0,5.0,Partly Cloudy,0,0,0,1,0,0,0,0,0,0,0,0,0
51,2009-09-20KC,27.0,44.0,44.0,1844.0,2,4.0,0.0,1,run,3.0,0,0,0.0,0,,,1.0,3.0,3.0,0.0,1.0,0.0,1.0,0.0,72.0,70.0,5.0,Partly Cloudy,0,0,1,0,0,1,0,0,0,0,0,0,0
52,2009-09-20KC,74.0,36.0,36.0,36.0,4,4.0,0.0,4,pass,0.0,1,0,1.0,0,12.0,,2.0,10.0,13.0,-3.0,0.0,1.0,0.0,1.0,72.0,70.0,5.0,Partly Cloudy,0,0,0,0,0,0,0,0,0,1,0,0,1
53,2009-09-20JAC,44.0,309.0,309.0,2109.0,2,4.0,0.0,1,pass,3.0,0,0,1.0,0,-1.0,4.0,2.0,16.0,3.0,13.0,1.0,0.0,0.0,1.0,83.0,74.0,8.0,Chance Rain,0,0,0,0,0,0,0,0,0,0,1,0,1
54,2009-09-20JAC,19.0,439.0,439.0,439.0,4,4.0,0.0,10,pass,19.0,1,0,1.0,0,9.0,10.0,3.0,10.0,30.0,-20.0,1.0,0.0,0.0,1.0,83.0,74.0,8.0,Chance Rain,0,0,0,0,0,0,0,0,0,0,1,0,1
55,2009-09-20JAC,31.0,269.0,269.0,269.0,4,4.0,0.0,13,pass,0.0,1,0,1.0,0,31.0,,2.0,17.0,30.0,-13.0,0.0,1.0,0.0,1.0,83.0,74.0,8.0,Chance Rain,0,0,0,0,0,0,0,0,1,0,0,1,0
56,2009-09-20SF,62.0,217.0,217.0,217.0,4,4.0,0.0,13,pass,22.0,1,0,1.0,0,16.0,6.0,0.0,10.0,23.0,-13.0,1.0,0.0,0.0,1.0,68.0,70.0,0.0,Sunny,0,0,0,0,0,0,0,0,1,0,0,1,0
57,2009-09-20SF,18.0,137.0,137.0,137.0,4,4.0,0.0,15,pass,0.0,1,0,1.0,0,18.0,,0.0,10.0,23.0,-13.0,0.0,1.0,0.0,1.0,68.0,70.0,0.0,Sunny,0,0,0,0,0,0,0,0,0,0,1,1,0
58,2009-09-20BUF,64.0,675.0,675.0,2475.0,2,4.0,0.0,1,run,2.0,0,1,0.0,0,,,3.0,16.0,7.0,9.0,1.0,0.0,1.0,0.0,74.0,47.0,4.0,Sunny,0,0,0,1,0,0,0,0,0,0,0,0,0
59,2009-09-20BUF,43.0,301.0,1201.0,1201.0,3,4.0,0.0,1,run,-1.0,0,0,0.0,0,,,3.0,14.0,19.0,-5.0,0.0,1.0,1.0,0.0,74.0,47.0,4.0,Sunny,0,0,1,0,0,0,0,1,0,0,0,0,0
60,2009-09-20BUF,43.0,411.0,411.0,411.0,4,4.0,0.0,10,pass,38.0,1,0,1.0,0,38.0,0.0,2.0,14.0,29.0,-15.0,1.0,0.0,0.0,1.0,74.0,47.0,4.0,Sunny,0,0,0,0,0,0,0,0,1,0,0,1,0
